,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
220,220,979,Jermaine O'Neal,1610612756,PHX,34.0,55,17,38,0.309,18.7,3.3,6.7,0.482,0.0,0.0,0.0,1.7,2.1,0.835,1.5,3.8,5.3,0.8,1.3,0.3,1.4,0.8,2.3,2.0,8.3,-2.4,5,0,5,"979,1610612756",2012
221,221,711,Jerry Stackhouse,1610612751,BKN,38.0,37,24,13,0.649,14.7,1.8,4.6,0.384,0.8,2.4,0.337,0.5,0.6,0.87,0.1,0.8,0.9,0.9,0.6,0.2,0.1,0.1,0.8,0.5,4.9,0.7,0,0,5,"711,1610612751",2012
222,222,201573,Jerryd Bayless,1610612763,MEM,24.0,80,54,26,0.675,22.1,3.3,7.8,0.419,0.9,2.5,0.353,1.3,1.5,0.836,0.3,1.9,2.2,3.3,1.5,0.7,0.2,0.4,2.1,1.5,8.7,0.1,0,0,5,"201573,1610612763",2012
223,223,202690,Jimmer Fredette,1610612758,SAC,24.0,69,25,44,0.362,14.0,2.5,5.9,0.421,0.9,2.3,0.417,1.2,1.4,0.859,0.3,0.8,1.0,1.3,1.0,0.4,0.0,0.4,0.9,1.1,7.2,-1.2,0,0,5,"202690,1610612758",2012
224,224,202710,Jimmy Butler,1610612741,CHI,23.0,82,45,37,0.549,26.0,2.9,6.2,0.467,0.5,1.3,0.381,2.3,2.8,0.803,1.7,2.3,4.0,1.4,0.8,1.0,0.4,0.7,1.2,2.2,8.6,0.6,4,0,5,"202710,1610612741",2012
225,225,201149,Joakim Noah,1610612741,CHI,28.0,66,36,30,0.545,36.8,4.6,9.5,0.481,0.0,0.1,0.0,2.7,3.6,0.751,3.9,7.2,11.1,4.0,2.7,1.2,2.1,0.9,2.8,3.4,11.9,0.9,33,2,5,"201149,1610612741",2012
226,226,201975,Jodie Meeks,1610612747,LAL,25.0,78,45,33,0.577,21.3,2.6,6.8,0.387,1.6,4.4,0.357,1.1,1.2,0.896,0.5,1.7,2.2,0.9,0.7,0.7,0.1,0.4,1.3,1.0,7.9,0.7,0,0,5,"201975,1610612747",2012
227,227,2207,Joe Johnson,1610612751,BKN,32.0,72,43,29,0.597,36.7,6.2,14.6,0.423,2.1,5.5,0.375,1.8,2.2,0.82,0.7,2.3,3.0,3.5,1.7,0.7,0.2,0.3,1.4,2.0,16.3,4.0,0,0,5,"2207,1610612751",2012
228,228,201202,Joel Anthony,1610612748,MIA,30.0,62,50,12,0.806,9.1,0.6,1.1,0.515,0.0,0.0,0.0,0.3,0.5,0.607,0.7,1.1,1.9,0.2,0.4,0.2,0.7,0.1,0.8,0.4,1.4,0.5,0,0,5,"201202,1610612748",2012
229,229,200777,Joel Freeland,1610612757,POR,26.0,51,15,36,0.294,9.4,1.1,2.8,0.408,0.0,0.0,0.0,0.4,0.5,0.667,0.8,1.5,2.3,0.3,0.4,0.3,0.2,0.3,1.3,0.6,2.6,-1.8,0,0,5,"200777,1610612757",2012
